tld,registration,renewal
com,14.99,19.99
de,8.99,11.49
net,16.99,21.99
org,9.99,19.99
cn,31.49,39.99
uk,9.49,11.99
xyz,20.49,22.99
top,9.49,10.99
nl,23.99,27.49
info,6.99,33.99
fr,17.99,28.99
shop,9.99,56.49
au,50.49,59.99
eu,12.99,17.99
ca,22.99,38.99
in,25.99,39.99
online,42.99,52.99
it,16.49,26.99
co,19.99,56.99
cc,20.99,25.99
pl,36.49,73.99
ch,16.99,24.99
es,22.49,31.49
store,58.99,69.99
vip,31.99,39.49
site,41.99,50.99
jp,55.49,64.49
us,10.49,13.99
be,19.99,34.99
app,15.99,30.49
cz,46.99,55.99
at,30.99,43.49
se,59.99,65.99
ai,100,143
io,63.99,73.49
id,167.99,219.99
dk,35.49,53.99
biz,24.99,29.99
tr,67.99,80.99
mx,52.99,71.49
bond,28.49,36.49
pro,4.99,43.99
me,22.49,31.49
sbs,28.49,36.49
kr,52.49,65.99
lol,42.99,52.99
hu,24.49,31.49
no,83.99,126.99
click,17.99,20.99
nz,36.99,45.99
dev,15.99,23.99
my,49.99,59.99
asia,18.99,27.99
ro,46.49,54.99
cl,47.99,65.99
live,35.99,42.49
ar,102.99,119.99
fi,90.99,118.99
icu,28.49,36.49
gr,18.99,26
space,40.49,46.99
tech,73.99,84.99
cfd,28.49,36.49
club,23.49,26.99
cloud,29.49,35.99
vn,168.99,213.99
cyou,28.49,36.49
ua,119.49,146.99
sk,41.99,66.99
pt,35.99,53.99
digital,47.49,58.49
life,45.49,51.99
world,51.49,59.49
tv,36.99,43.99
fun,47.99,57.49
tw,31.49,41.99
blog,29.99,32.99
work,19.99,23.99
ie,32.99,59.49
ae,62.99,71.99
art,33.49,38.49
link,12.99,17.99
one,30.99,37.99
mobi,57.99,78.99
lt,28.99,53.99
hk,36.99,43.99
buzz,36.99,44.99
website,35.49,42.99
autos,20.49,22.99
ee,54.49,67.99
ng,247.99,299.99
garden,38.99,48.99
sg,62.49,74.49
studio,46.49,57.49
nu,59.99,65.99
help,35.99,51.49
lat,42.99,52.99
kz,110.99,138.99
beer,38.99,48.99
ph,110.49,126.99
si,79.99,89.99
bet,32.99,37.99
xn--fiqs8s,41.99,60.99
skin,20.49,22.99
uz,68.49,88.99
pk,36.99,48
rs,99.99,129.99
win,31.49,38.99
xn--fiqz9s,52.49,60.99
by,14.99,21.49
lv,47.99,64.99
pe,55.49,70.49
hr,178.49,220.99
ma,80.99,97.99
pw,30.49,34.49
run,41.49,50.49
ink,39.49,48.99
wiki,39.99,49.99
email,35.99,42.99
group,29.99,43.49
agency,35.99,42.99
today,35.49,39.99
ke,151.99,174.99
lu,43.99,59.99
cat,31.49,39.99
ws,35.99,40.99
design,67.49,78.49
makeup,20.49,22.99
ltd,35.99,43.49
pics,42.99,52.99
uy,62.99,82.99
homes,20.49,22.99
rest,39.99,49.99
is,125.99,164.99
solutions,35.99,43.49
media,51.99,63.49
lk,89.99,78.99
bg,94.49,143.99
casino,185.99,212.99
name,10.49,20.99
company,26.99,31.99
services,48.49,55.99
sa,299.99,349.99
tokyo,33.99,41.99
casa,19.99,23.49
th,4462.99,4462.99
im,20.99,25.99
fit,38.99,48.99
surf,38.99,48.99
xn--ses554g,272.99,286.99
mom,40.99,49.99
news,37.49,42.49
network,41.49,47.99
cam,20.99,30.99
beauty,20.49,22.99
bio,88.99,111.99
global,67.99,142.49
games,40.99,45.99
to,78.99,99.5
li,16.99,25.99
ge,62.99,99.99
tn,45.49,54.99
qpon,29.99,36.99
team,50.49,58.99
academy,57.99,65.99
fyi,22.49,26.49
love,29.49,41.49
gg,136.49,176.99
health,94.99,112.99
forum,44.99,49.99
xn--j6w193g,51.49,60.99
nyc,39.49,48.99
best,30.99,36.49
africa,37.99,49.49
xin,31.49,38.99
cv,68.49,88.99
hair,20.49,22.99
llc,52.99,60.49
guru,49.99,57.99
chat,52.99,59.99
onl,28.99,34.49
quest,20.49,22.99
rocks,25.49,33.99
bid,31.49,38.99
ec,73.49,119.99
bd,99.99,109.99
am,106.99,140.49
center,41.49,46.99
la,60.49,77.49
social,51.99,59.49
baby,83.99,99.99
care,54.49,62.49
yachts,20.49,22.99
vu,91.99,120.99
sh,62.99,79.49
systems,40.49,47.99
do,78.99,96.99
vc,52.49,69.99
bar,78.99,93.99
xn--czru2d,1499.99,1649.99
berlin,75.99,70.49
wang,13.99,16.99
wtf,44.99,51.99
md,183.99,219.99
re,17.99,28.99
earth,25.49,30.99
monster,20.49,22.99
consulting,62.49,75.99
zone,48.49,55.99
tz,45.99,45.99
support,31.49,37.99
az,524.99,619.49
mk,62.99,71.99
page,16.49,22.49
works,48.49,55.99
business,25.49,29.99
plus,76.49,88.99
capital,87.99,96.99
family,46.49,54.99
tel,20.99,26.99
london,52.49,60.99
xxx,147.99,183.99
events,55.99,64.99
ly,104.99,132.99
ba,94.49,132.99
al,41.99,49.99
church,66.99,81.49
bz,20.99,32.99
finance,79.49,86.99
xn--3ds443g,314.99,330.99
technology,32.99,39.49
photography,41.99,50.49
gmbh,56.49,67.49
cm,115.49,146.49
city,36.99,40.99
cy,104.99,121.99
st,57.99,76.99
yoga,38.99,48.99
foundation,33.99,40.99
boats,20.49,22.99
qa,17.99,17.99
uno,33.99,39.99
tools,44.99,51.99
education,41.49,47.99
xn--czr694b,472.49,509.99
energy,138.49,158.99
marketing,50.99,58.99
travel,39.99,257.99
now,49.99,59.99
bayern,50.99,63.99
mn,71.99,89.99
coffee,53.49,61.49
farm,48.49,55.99
expert,75.99,82.99
coach,95.99,105.99
software,51.99,59.49
loan,31.49,38.99
international,35.99,43.49
house,54.49,63.49
community,56.49,64.99
cafe,64.49,73.49
video,41.99,53.49
mt,73.49,99.99
living,44.99,44.99
trade,31.49,38.99
kg,131.49,159.99
school,48.99,54.99
gt,110.49,125.99
ninja,37.49,45.49
ag,127.49,162.99
law,144.99,159.99
ventures,72.99,79.99
so,77.49,98.99
fm,117.99,174.99
courses,49.99,59.99
swiss,167.99,209.99
host,114.99,146.99
food,44.99,49.99
bot,63.99,82.99
legal,87.99,96.99
wine,72.99,79.99
fund,87.99,96.99
training,57.99,67.49
cool,51.99,60.99
immo,42.99,51.99
money,42.49,45.49
institute,34.99,39.49
ing,14.99,17.99
land,51.49,59.49
xn--55qx5d,41.99,49.99
dz,117.99,152.99
party,29.49,36.99
as,91.99,110
pet,32.99,38.49
band,40.99,46.49
guide,51.49,59.49
codes,82.99,93.99
cash,47.99,55.49
cx,127.49,155.49
photos,38.49,42.99
paris,59.99,72.99
market,54.49,62.49
clinic,79.49,86.99
show,61.49,71.49
tips,35.99,42.49
gay,44.49,53.99
golf,78.49,86.99
cr,132.49,162.99
press,99.99,118.99
boutique,39.99,45.99
red,29.99,35.49
amsterdam,41.99,54.99
exchange,48.49,55.99
dog,78.49,86.99
nrw,64.99,77.99
ac,66.49,83.49
gallery,36.49,41.49
pub,49.99,57.99
tax,82.99,90.49
partners,87.99,96.99
moscow,39.99,54.99
pa,182.49,211.49
moe,20.99,25.99
koeln,51.99,55.99
photo,40.99,48.99
eus,81.99,111.99
bike,48.49,55.99
study,46.99,58.99
hamburg,64.99,76.99
xn--io0a7i,41.99,49.99
ci,94.49,121.99
stream,30.49,36.99
gold,119.99,140.49
directory,34.99,39.49
blue,31.49,37.49
wien,57.49,65.49
ao,379.99,459.99
feedback,499.99,539.99
sale,46.99,54.99
cards,48.49,55.99
mu,80.99,103.49
delivery,73.99,83.49
bo,242.99,306.49
christmas,47.49,54.99
ooo,31.49,38.99
realestate,104.99,121.99
watch,54.49,62.99
aero,68.49,89.99
bzh,73.49,88.99
fitness,51.49,59.49
zip,14.99,17.99
scot,57.99,69.99
day,16.49,22.49
properties,48.49,55.99
tours,75.49,83.49
ml,51.99,79.99
wales,20.99,25.99
music,59.99,64.99
vin,72.99,79.99
rentals,54.99,63.49
fashion,38.99,48.99
tm,799.99,799.99
kiwi,36.99,43.99
direct,51.99,59.49
ren,16.99,20.99
srl,41.99,49.99
management,33.49,37.49
sn,46.49,51.99
wedding,38.99,48.99
miami,29.99,37.99
luxe,27.49,34.99
science,31.49,38.99
ad,34.99,44.99
vet,51.99,59.49
report,31.99,35.49
build,41.99,49.99
contact,19.99,21.99
style,48.49,55.99
jetzt,31.49,37.99
vegas,73.49,83.99
vision,56.49,64.99
estate,44.49,52.49
engineering,79.49,88.99
xn--90ais,31.49,38.99
reviews,83.99,94.99
rip,31.49,38.49
ug,52.49,60.99
jobs,188.99,220.99
men,31.49,38.99
productions,49.99,57.99
motorcycles,20.49,22.99
ps,85.99,103.99
place,54.49,63.49
rent,79.99,99.99
ms,115.99,143.99
sv,125.99,153.99
pizza,78.99,86.99
frl,51.49,60.99
enterprises,43.49,49.99
sport,472.49,539.99
gs,73.49,88.99
hn,93.99,115.49
date,35.99,42.99
gdn,17.99,24.49
lifestyle,44.99,49.99
eg,529.49,604.99
construction,48.49,55.99
solar,77.99,87.49
xn--o3cw4h,78.99,99.99
careers,87.49,95.49
rw,367.49,439.99
clothing,35.99,41.99
computer,48.49,55.99
bh,149.99,178.99
iq,329.99,384.99
dj,94.49,121.99
healthcare,108.49,119.99
holdings,79.49,86.99
fans,13.99,17.99
you,29.99,33.99
deals,48.49,55.99
tj,57.99,67.49
ky,83.99,95.99
ceo,127.99,147.99
je,136.49,176.99
et,278.49,316.99
dental,95.49,104.49
xn--6qq986b3xl,36.99,44.99
cymru,20.99,25.99
dance,34.99,39.49
haus,41.49,49.99
express,54.49,63.49
repair,44.99,51.99
sucks,259.99,299.99
fo,154.99,187.99
doctor,143.49,165.49
restaurant,79.99,88.99
om,311.99,362.99
fan,67.49,74.99
coop,89.49,99.99
green,98.49,111.49
pictures,22.99,27.99
lawyer,72.99,81.99
camp,75.99,83.99
university,76.49,83.49
tirol,57.99,75.99
xn--3e0b707e,94.49,127.99
game,419.99,472.99
kim,29.49,35.49
download,31.49,38.99
brussels,41.99,49.99
financial,71.49,77.99
supply,33.49,37.49
pm,17.99,28.99
porn,147.99,183.99
gal,73.49,109.99
ist,20.99,25.99
town,44.99,51.49
diy,44.99,49.99
gl,73.49,88.99
engineer,48.49,55.99
tattoo,47.49,55.99
kitchen,78.49,86.99
shopping,36.49,41.99
villas,73.49,84.49
immobilien,49.49,57.99
review,31.49,38.99
domains,51.99,60.49
parts,51.49,59.49
inc,999.99,2749
investments,159.49,183.99
mv,265.99,318.99
nc,131.49,154.5
quebec,36.99,44.99
industries,55.99,64.99
film,94.49,121.99
na,7138.99,7348.99
locker,49.99,59.99
eco,86.99,97.99
sex,147.99,183.99
taxi,75.49,83.49
sd,209.99,231.99
pink,33.49,39.49
limited,44.99,51.99
lc,36.99,49.99
tc,169.99,209.99
promo,31.49,36.49
coupons,65.49,72.49
mg,209.99,253.99
college,79.99,99.99
ski,84.99,114.99
markets,27.49,34.99
football,29.99,36.49
insure,89.49,98.99
vote,109.99,119.99
army,48.49,57.99
adult,147.99,183.99
vg,45.49,55.99
builders,43.49,49.99
black,79.49,86.99
fish,54.99,62.49
sydney,62.99,76.99
meme,14.99,17.99
gifts,44.99,51.99
credit,127.49,140.49
auction,44.99,51.99
audio,157.49,176.99
menu,41.99,49.99
poker,82.99,89.99
af,104.99,127.99
pr,1468.99,1804.99
lighting,29.99,33.49
toys,78.49,86.99
graphics,29.99,33.49
property,157.49,176.99
yt,17.99,28.99
loans,143.49,158.49
mov,14.99,17.99
faith,35.99,43.99
sc,147.99,177.99
mobile,22.99,29.99
vlaanderen,41.99,49.99
trading,27.49,35.49
gift,25.49,30.99
sr,131.49,154.99
mba,48.49,57.99
melbourne,73.49,85.99
horse,38.99,48.99
ax,131.49,164.99
gy,41.99,55.99
charity,33.99,38.99
istanbul,24.49,28.99
vacations,48.49,55.99
jo,399.99,447.99
ni,949.99,1149.99
attorney,72.49,81.99
schule,35.99,42.99
foo,14.99,17.99
kaufen,38.99,44.99
barcelona,41.99,77.99
racing,31.49,38.99
ngo,32.99,40.99
tf,17.99,28.99
tg,146.99,187.99
movie,426.49,467.99
boston,29.99,37.99
ruhr,36.99,44.99
dating,79.49,86.99
fail,47.99,57.99
equipment,36.49,40.99
nexus,14.99,17.99
irish,29.49,39.49
sx,34.99,44.99
salon,64.49,74.49
cg,472.49,549.99
reisen,25.99,30.99
luxury,52.49,66.99
gd,38.99,52.49
taipei,26.49,32.99
mc,57.99,71.99
apartments,68.99,75.99
okinawa,31.99,39.99
recipes,95.49,104.99
forsale,44.99,51.99
tt,499.67,499.67
claims,79.49,88.99
archi,126.99,159.99
bi,83.99,109.99
cologne,51.99,55.99
xn--g2xx48c,459.99,489.99
holiday,79.99,88.99
cab,39.99,47.99
gent,43.49,52.99
xn--j1amh,27.99,36.99
shoes,78.49,86.99
saarland,34.99,43.99
associates,48.49,55.49
soccer,32.99,38.99
jewelry,78.49,86.99
dad,14.99,17.99
voyage,71.49,83.49
bm,184.99,230.99
how,31.49,38.99
mortgage,75.49,83.99
glass,87.99,97.49
boo,16.49,22.49
capetown,22.99,26.99
tube,31.49,38.99
contractors,42.99,49.49
lgbt,98.99,117.99
cheap,44.99,53.99
gives,33.99,40.99
xn--hxt814e,341.49,407.99
xn--3bst00m,829.49,999.99
bj,157.49,198.99
yokohama,33.99,41.99
bingo,64.99,75.99
discount,36.49,43.99
mw,94.49,121.5
actor,54.49,66.99
ht,125.99,164.99
nagoya,33.99,41.99
madrid,68.99,73.99
camera,71.49,77.99
broker,44.99,54.99
xn--mk1bu44c,14.99,17.99
gratis,29.49,34.99
med,209.99,239.99
catering,48.49,55.99
sl,83.99,99.99
mo,157.49,186.66
channel,19.99,27.99
rodeo,19.49,22.49
xn--5tzm5g,16.99,20.99
exposed,27.99,32.99
