tld,registration,renewal,registrar_count
ab.ca,9.19,9.19,1
abogado,41.14,48.05,9
ac,47.3,73.46,13
academy,24.91,55.03,15
accountant,30.14,33.44,15
accountants,94.97,136.35,15
actor,31.56,52.78,16
ad,26.25,34.05,5
adult,103.41,145.81,11
ae,52.07,79.93,5
aero,58.16,82.32,3
af,104.99,127.99,1
africa,20.53,31.89,6
ag,89.49,118.9,10
agency,12.8,36.29,15
ai,100.38,111.5,14
airforce,99.41,112.37,15
al,218.5,356.99,2
alsace,52.24,80.99,4
am,72.93,86.11,7
amsterdam,56.59,68.39,6
ao,379.99,459.99,1
apartments,49.07,69.79,16
app,12.29,22.03,15
aq,137.0,207.74,2
ar,133.0,215.99,2
archi,55.82,120.36,15
army,29.47,45.95,15
art,9.82,29.72,14
as,70.08,100.26,5
asia,10.21,19.82,14
associates,30.05,46.73,16
at,18.32,22.47,10
attorney,65.47,72.97,16
au,18.65,29.35,5
auction,30.62,44.61,16
audio,146.91,160.31,15
auto,2332.08,2817.07,13
autos,6.36,20.19,12
aw,240.49,252.99,1
ax,150.25,226.49,2
az,437.5,657.74,2
ba,139.65,246.49,2
baby,34.57,79.91,14
band,27.01,37.09,16
bank,900.1,1299.49,2
bar,29.22,78.42,15
barcelona,48.97,58.99,9
bargains,25.89,36.78,16
basketball,56.08,80.22,4
bayern,44.43,51.52,9
bb,161.49,194.99,1
bc.ca,9.19,9.19,1
bd,98.75,154.98,2
be,11.08,18.65,7
beauty,7.02,19.79,13
beer,17.11,40.29,14
berlin,71.86,79.7,9
best,27.89,38.21,14
bet,18.95,32.04,13
bf,232.19,305.99,2
bg,138.25,227.99,2
bh,233.84,374.25,3
bi,69.11,101.1,3
bible,54.42,73.56,5
bid,22.02,27.12,14
bike,26.44,46.89,16
bingo,44.04,64.89,15
bio,24.38,88.56,14
biz,12.62,26.89,15
bj,202.25,307.49,2
black,44.57,77.1,16
blackfriday,143.16,159.5,11
blog,10.86,32.26,15
blue,23.72,29.74,16
bm,205.28,287.49,2
bn,2248.48,2248.48,2
bo,311.5,473.24,2
boats,8.56,20.19,13
bond,13.3,31.17,11
boo,14.53,17.29,13
boston,24.18,27.46,13
bot,72.83,82.16,10
boutique,19.62,40.17,16
br,155.0,271.98,1
broker,19.23,41.13,9
brussels,44.51,61.47,5
bs,333.5,366.74,2
bt,239.0,367.49,2
build,49.45,56.2,13
builders,28.13,42.19,16
business,13.76,24.82,16
buzz,15.3,41.64,13
bw,166.75,319.98,1
by,105.0,178.74,2
bz,22.32,27.32,10
bzh,67.32,86.57,6
ca,12.83,17.28,14
cab,31.64,39.77,16
cafe,24.28,59.31,16
cam,13.63,23.77,12
camera,49.66,70.47,16
camp,48.49,72.11,16
capetown,24.27,26.74,5
capital,40.17,83.86,16
car,2332.08,2771.23,13
cards,31.5,46.22,16
care,28.76,51.81,16
career,113.77,161.79,3
careers,50.84,83.09,16
cars,2332.08,2817.07,13
casa,10.13,18.25,14
case,2268.22,2609.48,5
cash,26.88,46.06,16
casino,76.79,186.21,15
cat,24.23,39.1,9
catering,41.81,46.56,16
cc,13.16,19.44,15
center,16.35,37.67,16
ceo,50.43,120.48,16
cf,24.35,55.98,1
cfd,14.21,30.99,10
cg,580.75,810.99,2
ch,13.61,18.71,9
channel,15.99,17.04,11
charity,23.41,35.44,13
chat,26.54,51.95,16
cheap,23.84,43.64,16
christmas,35.76,51.89,16
church,28.55,65.31,16
ci,202.25,336.99,2
city,18.16,34.24,16
ck,293.0,468.8,1
cl,56.0,78.88,7
claims,40.62,75.63,16
