tld,registration,renewal
com,10.88,10.88
de,4.05,4.05
net,12.52,12.52
org,7.99,11.64
cn,5.34,5.34
uk,6.33,6.33
xyz,1.99,13.17
top,2.99,4.88
nl,7.6,7.6
info,3.99,22.69
fr,6.76,6.76
shop,1.99,32.32
eu,5,6.39
ca,9.41,9.41
in,6.29,6.29
online,2.5,29.64
it,6.78,5.6
co,3.48,31.2
cc,4.99,8.8
pl,5.64,15.98
ch,8.48,8.48
store,2.5,43.02
vip,4.49,5.03
site,2.5,26.97
us,4.3,6.96
be,7.63,7.63
app,9.99,14.5
cz,9.17,9.17
at,11.31,11.31
ai,85.6,85.6
io,28.89,53.5
id,19.95,19.95
dk,13.47,13.47
biz,6.65,18.93
mx,36.64,42.52
bond,1.99,16.27
pro,3.79,22.69
me,9.72,17.81
sbs,1.99,16.27
lol,1.5,26.97
no,8.26,8.26
click,1.99,10.92
nz,20.74,20.74
dev,8,12.5
my,2.99,28.75
asia,4,11.99
ro,10.41,10.41
cl,11.77,11.77
live,2.5,26.97
icu,2.49,16.27
space,2.5,21.62
tech,6.64,52.65
cfd,1.99,16.27
club,1.99,15.96
cloud,3.99,21.62
cyou,1.99,16.27
pt,11.89,11.89
digital,2.99,34.14
life,3.49,30.08
world,2.5,34.2
tv,26.25,26.25
fun,3.5,32.32
tw,18,18
blog,3.5,21.62
work,10.92,10.92
ie,16.66,22.21
ae,32.68,32.68
art,4.5,21.62
link,7.71,7.71
one,6.58,20.55
mobi,4,43.02
lt,10.38,11.28
hk,12.23,19.12
buzz,1.99,26.97
website,2.5,21.62
autos,1.99,13.17
ng,10.52,10.52
garden,2.49,26.97
studio,11.96,33.39
help,2.99,26.97
lat,1.99,26.97
beer,1.5,26.97
ph,46,46
si,12.38,13.88
bet,9.85,21.62
中国,5.34,14.06
skin,1.99,13.17
win,4.48,5.55
lv,11.28,11.28
pw,4.3,18.73
run,4,22.69
ink,26.97,26.97
wiki,26.97,26.97
email,5.57,25.9
group,6.1,21.62
agency,3.5,25.9
today,3.49,23.76
ke,40.4,40.4
cat,18.79,24.97
ws,7.98,23.98
design,10.92,48.37
makeup,1.99,13.17
ltd,5.57,25.9
pics,1.99,26.97
homes,1.99,13.17
rest,1.99,26.97
solutions,3.5,25.9
media,4.5,37.67
casino,7.71,133.97
name,7.27,7.27
company,2.5,17.34
services,8.78,32.32
tokyo,18.37,18.37
casa,1.5,10.92
im,8.12,9.47
fit,26.97,26.97
surf,1.5,26.97
mom,1.99,26.97
news,9.85,26.97
network,4.5,29.11
cam,1.75,15.2
beauty,1.99,13.17
bio,5.57,60.14
global,32.32,80.47
games,8.24,28.04
to,60,60
li,8.48,8.48
qpon,2.49,9.72
team,4.5,30.08
academy,11.99,38.74
fyi,5.57,5.57
love,8.78,23.76
gg,53.5,53.5
health,10.92,64.42
forum,2.99,32.32
xn--j6w193g,12.23,19.12
nyc,26.97,26.97
best,1.65,18.79
xin,12.99,19.99
cv,9.75,9.75
hair,1.99,13.17
llc,10.92,35.2
guru,2.5,35.26
chat,5.57,37.55
onl,2.99,19.48
quest,1.99,13.17
rocks,3.5,18.41
bid,4.48,5.55
ec,35.7,35.7
center,3.5,26.97
la,27.95,27.95
social,6.62,34.35
baby,1.99,53.72
care,16.27,36.6
yachts,1.99,13.17
vu,3.3,58.85
sh,32.1,48.15
systems,11.99,29.11
vc,27.5,27.5
bar,2.99,53.72
berlin,55.77,55.77
wang,4.44,6.24
wtf,2.5,30.18
re,7.04,7.04
earth,16.27,16.27
monster,1.99,13.17
