tld,registration,renewal
com,12.99,22.99
de,9.99,9.99
net,14.99,24.99
org,9.99,23.99
cn,9.99,9.99
uk,12.99,12.99
xyz,1.99,25.99
top,2.99,6.99
nl,9.99,9.99
info,5.99,41.99
fr,19.99,19.99
shop,0.99,59.99
au,14.99,14.99
eu,8.99,12.99
ca,17.99,17.99
in,12.99,12.99
online,0.99,54.99
it,14.99,14.99
co,17.99,59.99
cc,5.99,15.99
pl,7.99,29.99
ch,14.99,14.99
es,10.99,10.99
store,0.99,83.99
vip,6.99,23.99
site,0.99,54.99
jp,32.99,32.99
us,7.99,19.99
be,13.99,13.99
app,15.99,27.99
cz,15.99,15.99
at,17.99,17.99
se,43.99,43.99
ai,209.98,159.99
io,59.99,89.99
id,34.99,34.99
dk,17.99,17.99
biz,11.99,35.99
mx,64.99,64.99
bond,1.99,29.99
pro,4.99,41.99
me,13.99,29.99
kr,21.99,21.99
lol,0.99,49.99
no,12.99,12.99
click,1.99,21.99
dev,15.99,23.99
asia,5.99,21.99
cl,69.99,69.99
live,3.99,49.99
space,0.99,49.99
tech,9.99,97.99
club,4.99,29.99
cloud,3.99,39.99
digital,3.99,63.99
life,3.99,55.99
world,3.99,63.99
tv,49.99,49.99
fun,2.99,59.99
tw,29.99,29.99
blog,1.99,39.99
work,2.99,19.99
ie,19.99,31.99
art,2.99,39.99
link,14.99,14.99
one,11.99,37.99
mobi,9.99,59.99
buzz,0.99,49.99
website,0.99,39.99
autos,1.99,23.99
garden,1.99,49.99
sg,75.99,75.99
studio,21.99,61.99
help,0.99,53.99
lat,0.99,49.99
beer,1.99,49.99
ph,109.99,109.99
bet,19.99,39.99
skin,0.99,23.99
win,7.99,39.99
pe,79.99,79.99
pw,1.99,34.99
run,4.99,41.99
ink,2.99,49.99
wiki,2.99,49.99
email,5.99,47.99
group,24.99,39.99
agency,3.99,47.99
today,3.99,43.99
ws,43.99,43.99
design,19.99,89.99
makeup,1.99,23.99
ltd,9.99,47.99
pics,1.99,49.99
homes,1.99,23.99
rest,0.99,49.99
solutions,4.99,47.99
media,9.99,69.99
casino,15.99,249.99
name,14.99,14.99
bar,0.99,99.99
company,31.99,31.99
services,3.99,59.99
tokyo,31.99,31.99
casa,1.99,19.99
fit,2.99,49.99
surf,1.99,49.99
mom,1.99,54.99
news,19.99,49.99
network,7.99,53.99
cam,13.99,13.99
beauty,1.99,23.99
bio,7.99,111.99
global,49.99,149.99
games,9.99,51.99
to,99.99,99.99
team,7.99,55.99
academy,19.99,71.99
fyi,9.99,9.99
love,19.99,43.99
gg,99.99,99.99
health,19.99,119.99
nyc,49.99,49.99
best,33.99,33.99
africa,14.99,14.99
hair,1.99,23.99
llc,9.99,65.99
guru,3.99,65.99
chat,9.99,69.99
onl,4.99,35.99
quest,0.99,23.99
rocks,7.99,33.99
bid,7.99,39.99
am,89.99,89.99
center,5.99,49.99
la,49.99,49.99
social,9.99,63.99
baby,1.99,99.99
care,17.99,67.99
yachts,1.99,23.99
vu,1.99,99.99
sh,89.99,89.99
systems,19.99,53.99
vc,49.99,49.99
berlin,59.99,89.99
wtf,3.99,55.99
earth,29.99,29.99
monster,0.99,23.99
consulting,29.99,83.99
zone,9.99,59.99
support,9.99,41.99
page,19.99,19.99
works,5.99,59.99
business,9.99,29.99
plus,19.99,83.99
capital,14.99,109.99
family,19.99,19.99
london,12.99,52.99
xxx,99.99,189.99
events,14.99,69.99
church,9.99,89.99
bz,29.99,29.99
finance,39.99,99.99
technology,5.99,43.99
photography,9.99,55.99
gmbh,69.99,69.99
city,7.99,43.99
yoga,49.99,49.99
foundation,42.99,42.99
boats,1.99,23.99
uno,1.99,39.99
tools,14.99,55.99
education,53.99,53.99
energy,16.99,179.99
marketing,17.99,63.99
travel,29.99,229.99
now,59.99,59.99
bayern,53.99,53.99
coffee,19.99,65.99
farm,8.99,59.99
expert,14.99,95.99
coach,19.99,119.99
software,11.99,63.99
loan,7.99,39.99
international,7.99,47.99
house,27.99,67.99
community,69.99,69.99
cafe,9.99,79.99
video,19.99,55.99
living,0.99,59.99
trade,7.99,39.99
school,55.99,55.99
ninja,15.99,47.99
ag,74.99,149.99
law,159.99,159.99
ventures,29.99,91.99
fm,169.99,169.99
courses,1.99,49.99
host,2.99,157.99
bot,99.99,99.99
legal,109.99,109.99
