tld,registration,renewal
com,9.99,19.99
de,1.99,13.99
net,14.99,17.99
org,8.99,17.99
uk,7.99,10.99
xyz,1.99,18.99
top,2.99,6.99
nl,4.99,9.99
info,3.99,31.99
fr,8.99,12.99
shop,0.99,34.99
au,9.99,15.99
eu,4.99,7.99
ca,9.99,16.99
in,6.99,9.99
online,0.99,35.99
it,5.99,16.99
co,27.99,34.99
cc,3.99,10.99
pl,4.99,21.99
ch,8.99,9.99
es,8.99,11.99
store,0.99,54.99
vip,3.99,24.99
site,0.99,38.99
jp,29.99,39.99
us,8.99,8.99
be,7.99,9.99
app,9.99,19.99
cz,26.99,26.99
at,12.99,12.99
se,23.99,23.99
ai,89.99,109.99
io,31.99,74.99
id,12.99,15.99
dk,9.99,11.99
biz,7.99,23.99
tr,21.99,29.99
mx,27.99,39.99
bond,0.99,13.99
pro,2.99,31.99
me,7.99,19.99
sbs,0.99,15.99
lol,0.99,39.99
click,1.99,11.99
dev,9.99,18.99
my,2.99,35.99
asia,4.99,12.99
ro,32.99,34.99
cl,12.99,15.99
live,2.99,37.99
fi,16.99,19.99
icu,1.99,15.99
gr,15.99,15.99
space,0.99,32.99
tech,6.99,63.99
cfd,0.99,15.99
club,4.99,19.99
cloud,1.99,25.99
cyou,0.99,15.99
pt,18.99,18.99
digital,2.99,47.99
life,2.99,41.99
world,2.99,47.99
tv,34.99,34.99
fun,0.99,38.99
blog,1.99,29.99
work,12.99,19.99
ae,49,59
art,1.99,25.99
link,10.99,12.99
one,2.99,28.99
mobi,4.99,59.99
lt,9.99,11.99
website,0.99,25.99
autos,1.99,18.99
ng,24.99,32.99
garden,25.99,36.39
studio,12.99,46.99
nu,17.99,17.99
help,9.99,59.99
lat,1.99,39.99
ph,69.99,89.99
bet,10.99,29.99
skin,1.99,18.99
pk,55.99,55.99
lv,15.99,15.99
pe,89.99,129.99
ma,34.99,39.99
pw,7.99,22.99
run,4.99,31.99
ink,1.99,34.99
wiki,1.99,33.99
email,5.99,35.99
group,6.99,29.99
