tld,registration,renewal
com,10,20
de,9,15
net,12,20
org,7,20
xyz,12,15
top,20,20
nl,8,8
info,1.99,35
shop,0.98,56
ca,10,15
in,6,6
online,1.6,48
co,36,48
cc,20,20
ch,6,10
store,1.47,84
vip,24,24
site,3.44,55
us,15,15
be,6,10
app,12,25
at,9,15
ai,80,120
io,40.99,90
biz,30,30
mx,50,50
pro,5.25,35
me,5,25
lol,40,40
dev,12.5,25
asia,10,20
live,4.03,46
icu,1,10
space,1,50
tech,3,105
club,24,24
cloud,1,37
digital,2.58,59
life,3.02,53
world,2.95,59
tv,32,40
fun,1,60
blog,6,40
work,16,16
ae,30,60
art,20,25
link,5,15
one,15.6,26
mobi,75,75
buzz,50,50
website,1,40
garden,45,45
studio,22,40
help,52,52
beer,45,45
ph,107,107
bet,37,37
skin,15,15
pk,50,100
win,40,40
run,40,40
ink,40,40
wiki,40,40
email,3,45
group,37,37
agency,5,45
today,41,41
cat,30,50
ws,15,15
design,70,70
makeup,15,15
ltd,10.8,45
pics,40,40
rest,50,50
solutions,11.25,45
media,8.13,65
casino,215,215
name,15,15
company,5,30
services,56,56
tokyo,20,20
casa,19,19
fit,45,45
surf,45,45
mom,50,50
news,46,46
network,9,50
cam,40,40
beauty,15,15
bio,10.6,106
global,63.5,127
games,9.6,48
to,100,100
li,6,10
qpon,40,40
team,7.95,53
academy,19.39,67
fyi,21,30
gg,80.5,115
health,105,105
nyc,46,46
best,30,30
africa,20,40
hair,15,15
guru,61,61
chat,65,65
onl,34,34
rocks,4.8,32
bid,40,40
center,12.27,46
la,25,50
social,14.16,59
care,21.33,64
systems,50,50
vc,70,70
bar,100,100
berlin,48,84
wtf,14.14,53
earth,30,30
consulting,27.3,78
zone,14.93,56
support,12,40
page,11.2,16
works,7,56
business,10.15,29
plus,15.6,78
capital,105,105
family,14.93,56
london,28,70
events,17.34,65
church,19.92,83
finance,96,96
technology,11.87,41
photography,9.17,55
gmbh,3.25,65
city,41,41
yoga,45,45
foundation,40,40
uno,40,40
tools,18.55,53
education,50,50
energy,19,152
marketing,10.62,59
coffee,14.64,61
farm,56,56
expert,93,93
coach,20.4,102
software,59,59
loan,40,40
international,45,45
house,64,64
community,10.83,65
cafe,7.4,74
video,53,53
trade,40,40
school,53,53
ninja,45,45
ag,130,130
law,135,135
ventures,80,80
host,140,140
legal,21,105
wine,80,80
fund,93,93
training,21.46,59
cool,65,65
immo,10,50
money,46,46
institute,40,40
land,59,59
party,30,30
as,54,90
pet,37,37
band,45,45
guide,59,59
codes,105,105
cash,56,56
photos,43,43
paris,40,80
market,64,64
clinic,96,96
show,64,64
tips,45,45
gay,50,50
golf,96,96
press,110,110
boutique,46,46
red,34,34
amsterdam,70,70
exchange,56,56
dog,96,96
gallery,41,41
pub,58,58
tax,89,89
partners,93,93
moe,25,25
koeln,15,60
photo,40,40
eus,130,130
bike,56,56
hamburg,48,84
stream,40,40
gold,145,145
directory,40,40
blue,35,35
wien,50,50
sale,56,56
cards,56,56
delivery,81,81
christmas,100,100
watch,64,64
bzh,90,90
fitness,10.62,59
scot,70,70
properties,56,56
tours,81,81
wales,25,25
vin,92,92
rentals,64,64
fashion,45,45
kiwi,40,40
direct,59,59
srl,50,50
management,14.8,37
wedding,45,45
miami,23,23
luxe,30,30
science,40,40
vet,59,59
report,35,35
build,100,100
contact,12.6,18
style,56,56
jetzt,3,25
vegas,42,70
vision,19.5,65
estate,56,56
engineering,84,84
reviews,84,84
rip,34,34
men,40,40
productions,58,58
rent,100,100
pizza,84,84
enterprises,32.2,46
date,40,40
construction,56,56
solar,84,84
careers,93,93
clothing,46,46
computer,56,56
healthcare,115,115
holdings,95,95
fans,100,100
deals,56,56
ceo,140,140
dental,102,102
cymru,25,25
dance,40,40
haus,48,48
express,56,56
repair,53,53
doctor,152,152
restaurant,84,84
green,110,110
pictures,23,23
lawyer,84,84
camp,81,81
university,81,81
tirol,66,66
game,600,600
kim,34,34
download,40,40
brussels,50,50
financial,80,80
supply,37,37
ist,20,20
town,53,53
engineer,56,56
kitchen,84,84
shopping,32.2,46
villas,85,85
immobilien,9.72,54
review,40,40
domains,61,61
parts,59,59
investments,168,168
quebec,50,50
industries,65,65
film,130,130
taxi,81,81
pink,37,37
limited,53,53
promo,35,35
coupons,77,77
college,100,100
ski,84,84
football,38,38
insure,96,96
vote,118,118
army,56,56
builders,32.2,46
black,90,90
fish,64,64
gifts,53,53
credit,145,145
auction,53,53
menu,50,50
poker,89,89
lighting,21,30
toys,84,84
graphics,21,30
loans,152,152
faith,40,40
vlaanderen,50,50
mba,56,56
horse,45,45
istanbul,30,30
vacations,56,56
attorney,84,84
schule,41,41
kaufen,5,40
barcelona,70,70
racing,40,40
movie,453,453
boston,20,20
ruhr,50,50
dating,84,84
fail,56,56
equipment,41,41
irish,50,50
salon,53.2,76
reisen,30,30
luxury,40,50
apartments,80,80
okinawa,20,20
recipes,102,102
forsale,53,53
claims,84,84
archi,135,135
cologne,15,60
holiday,84,84
cab,46,46
shoes,84,84
saarland,40,40
associates,56,56
soccer,37,37
jewelry,84,84
voyage,83,83
mortgage,89,89
glass,95,95
capetown,15,15
tube,40,40
contractors,50,50
lgbt,115,115
cheap,53,53
gives,40,40
yokohama,20,20
bingo,70,70
discount,40,40
actor,64,64
nagoya,20,20
madrid,26,40
camera,84,84
gratis,34,34
catering,56,56
rodeo,40,40
exposed,32,32
singles,48,48
supplies,35,35
country,40,40
dentist,56,80
plumbing,104,104
cleaning,98,98
furniture,90,150
alsace,80,80
hosting,600,600
flights,83,83
cruises,70,70
cooking,45,45
moda,59,59
futbol,15,15
joburg,15,15
limo,78,78
rehab,53,53
webcam,40,40
hospital,53.2,76
tienda,84,84
diamonds,80,80
tennis,92,92
desi,25,25
hockey,85,85
lease,80,80
fishing,45,45
sarl,40,40
vodka,45,45
florist,40,40
surgery,78,78
accountants,152,152
durban,15,15
bargains,40,40
organic,115,115
maison,81,81
gripe,40,40
creditcard,147,210
accountant,40,40
theater,92,92
condos,83,83
navy,59,59
republican,40,40
tires,130,130
osaka,50,50
flowers,200,200
cricket,100,100
degree,74,74
voto,100,100
diet,200,200
democrat,46,46
physio,120,120
reise,150,150
memorial,74,74
airforce,147,147
viajes,70,70
ryukyu,20,20
guitars,200,200
ltda,70,70
abogado,60,60
