tld,registration,renewal
com,12.99,19.99
de,19.99,19.99
net,16.49,23.99
org,8.49,19.99
uk,9.99,11.99
xyz,1.99,20.99
top,14.99,14.99
nl,11.99,11.99
info,5.99,39.99
fr,17.99,18.99
shop,2.99,59.99
eu,10.99,11.99
ca,16.99,16.99
in,10.99,11.99
online,2.99,49.99
it,25.99,25.99
co,4.99,44.99
cc,35,35
pl,27.99,27.99
ch,17.99,17.99
es,25.99,25.99
store,2.99,75.99
vip,24.99,24.99
site,2.99,49.99
jp,55.99,55.99
us,7.99,18.99
be,13.99,13.99
app,14.99,26.99
cz,16.99,16.99
at,18.99,18.99
se,24.99,41.99
ai,99.99,99.99
io,53.99,79.99
dk,32.99,32.99
biz,1.99,31.99
mx,49.99,58.99
bond,2.49,29.99
pro,4.99,35.99
me,26.9913,27.99
sbs,1.99,31.99
lol,1.99,45.99
click,1.99,20.99
nz,35.99,35.99
dev,14.99,22.99
my,19.99,49.99
asia,2.99,20.99
ro,110.99,110.99
cl,64.99,64.99
live,3.99,43.99
icu,3.99,31.99
space,4.99,39.99
tech,13.99,89.99
cfd,1.99,31.99
club,6.99,26.99
cloud,39.99,39.99
pt,59.99,59.99
digital,3.99,54.99
life,3.99,48.99
world,3.99,57.99
tv,41.99,46.99
fun,4.99,59.99
tw,34,34
blog,5.99,37.99
work,2.99,16.99
art,7.99,39.99
link,10.99,13.99
one,11.99,30.99
mobi,6.99,64.99
buzz,2.49,46.99
website,4.99,37.99
autos,1.99,20.99
garden,46.99,46.99
studio,21.99,58.99
help,1.99,50.99
lat,1.99,41.99
beer,1.99,46.99
si,24.99,24.99
bet,17.99,33.99
skin,1.99,20.99
win,34.99,37.99
pw,29.99,29.99
run,6.99,41.99
ink,2.99,65.99
wiki,2.99,65.99
email,9.99,39.99
group,10.99,33.99
agency,5.99,39.99
today,3.99,41.99
cat,39.99,39.99
ws,39.99,39.99
design,19.99,80.99
makeup,1.99,20.99
ltd,9.99,39.99
pics,1.99,45.99
homes,1.99,20.99
rest,19.99,46.99
solutions,5.99,41.99
media,7.99,60.99
casino,13.99,236.99
name,10.99,13.99
fyi,9.99,9.99
company,3.99,23.99
services,15.99,52.99
tokyo,19.99,29.99
casa,23.99,23.99
im,12.99,12.99
fit,2.99,46.99
surf,1.99,46.99
mom,1.99,51.99
news,17.99,43.99
network,7.99,45.99
cam,29.99,29.99
beauty,1.99,20.99
bio,9.99,99.99
global,59.99,121.99
games,14.99,43.99
to,99.99,99.99
li,17.99,17.99
qpon,1.99,27.99
team,7.99,48.99
academy,21.99,62.99
love,39.99,44.99
gg,129.99,129.99
health,19.99,108.99
forum,1.99,44.99
nyc,43.99,46.99
best,29.99,29.99
hair,1.99,20.99
llc,11.99,54.99
guru,3.99,54.99
chat,9.99,50.99
onl,4.99,35.99
quest,1.99,20.99
rocks,5.99,27.99
bid,34.99,37.99
ec,69.99,69.99
am,99,99
center,5.99,41.99
la,39,46.99
social,11.99,50.99
baby,29.99,94.99
care,21.99,56.99
yachts,1.99,20.99
sh,59.99,99
systems,21.99,45.99
vc,39,46.99
bar,39.99,94.99
wtf,3.99,46.99
re,17.99,17.99
earth,22.99,27.99
monster,1.99,20.99
consulting,39.99,67.99
zone,14.99,50.99
support,11.99,35.99
page,15.99,18.99
works,7.99,50.99
business,3.99,27.99
plus,17.99,60.99
capital,9.99,92.99
family,9.99,50.99
tel,10.99,10.99
london,59.99,59.99
xxx,179.99,179.99
events,17.99,56.99
church,11.99,58.99
bz,25,27.99
finance,11.99,84.99
xn--3ds443g,249.99,249.99
technology,17.99,41.99
photography,9.99,46.99
gmbh,47.99,52.99
cm,149,149
city,7.99,41.99
yoga,46.99,46.99
foundation,5.99,40.99
boats,1.99,20.99
uno,39.99,39.99
tools,17.99,52.99
education,39.99,45.99
energy,21.99,170.99
marketing,9.99,52.99
travel,29.99,189.99
now,59.99,59.99
bayern,47.99,50.99
mn,69.99,69.99
coffee,19.99,50.99
farm,13.99,50.99
expert,11.99,79.99
coach,19.99,92.99
software,29.99,50.99
loan,34.99,37.99
international,14.99,41.99
house,27.99,58.99
community,14.99,65.99
cafe,7.99,60.99
video,14.99,52.99
living,39.99,59.99
trade,34.99,37.99
school,9.99,46.99
ninja,9.99,39.99
ag,89,141.99
law,119.99,151.99
ventures,9.99,77.99
fm,99,160.99
courses,1.99,49.99
host,134.99,134.99
food,39.99,59.99
bot,99.99,99.99
legal,9.99,92.99
wine,9.99,77.99
fund,15.99,92.99
training,21.99,52.99
cool,9.99,65.99
immo,14.99,45.99
money,19.99,50.99
institute,13.99,35.99
ing,18.99,18.99
land,15.99,52.99
party,34.99,37.99
pet,19.99,59.99
band,29.99,41.99
guide,10.99,57.99
codes,7.99,86.99
cash,17.99,46.99
cx,79.99,79.99
photos,14.99,35.99
paris,65.99,65.99
market,64.99,64.99
clinic,19.99,84.99
show,14.99,56.99
tips,14.99,39.99
gay,53.99,53.99
golf,7.99,84.99
press,114.99,114.99
boutique,3.99,46.99
red,14.99,29.99
exchange,10.99,50.99
dog,5.99,83.99
ac,49.99,99
gallery,41.99,41.99
pub,47.99,52.99
tax,14.99,92.99
partners,13.99,92.99
moe,19.99,23.99
photo,39.99,39.99
eus,99.99,99.99
bike,14.99,50.99
study,1.99,50.99
hamburg,59.99,59.99
stream,34.99,37.99
gold,9.99,141.99
directory,7.99,33.99
blue,23.99,35.99
feedback,15.99,799.99
sale,5.99,50.99
cards,3.99,50.99
mu,99.99,99.99
delivery,8.99,77.99
christmas,49.99,61.99
ooo,34.99,34.99
watch,4.99,56.99
fitness,9.99,52.99
zip,16.99,18.99
scot,54.99,54.99
day,19.99,19.99
properties,10.99,50.99
