tld,registration,renewal
com,11.28,18.48
de,6.98,9.88
net,12.48,18.58
org,8.48,18.98
cn,23.98,23.98
uk,6.98,9.98
xyz,2,19.48
top,2.98,6.98
nl,7.48,8.98
info,3.98,35.98
fr,17.98,20.98
shop,0.98,48.98
eu,6.98,10.98
ca,11.98,14.98
in,9.98,11.98
online,0.98,34.98
co,5.98,45.48
cc,5.98,13.98
ch,18.98,26.98
es,18.98,28.98
store,0.98,43.98
vip,4.98,10.98
site,0.98,31.98
us,5.98,10.98
app,10.98,22.98
ai,79.98,114.98
io,34.98,75.98
id,22.98,25.98
biz,8.481,28.98
mx,22.98,58.98
bond,2,25.98
pro,3.48,33.98
me,10.98,23.98
sbs,1.54,25.98
lol,1.8,40.98
click,1.8,17.98
dev,10.98,20.98
my,2.98,38.98
asia,1.98,18.98
live,2.98,39.48
icu,2.79,26.98
space,0.98,32.48
tech,9.99,58.98
cfd,1.39,26.98
club,4.98,24.98
cloud,3.98,32.98
cyou,1.39,25.98
digital,2.98,53.98
life,2.98,46.48
world,2.98,52.98
tv,29.98,40.98
fun,3.98,33.48
blog,2.98,32.98
work,2.98,17.98
art,3.98,32.98
link,4.48,11.98
one,9.48,30.98
mobi,4.48,64.98
buzz,1.98,41.98
website,0.98,20.98
autos,1.8,19.98
garden,1.98,43.98
sg,56.98,63.98
studio,14.98,52.98
nu,39.88,39.88
help,2.8,43.98
lat,1.8,40.98
beer,1.98,43.98
ph,52.98,56.98
bet,8.98,35.98
skin,1.8,19.98
win,5.98,9.98
pe,88.98,95.98
pw,6.98,20.48
run,3.48,35.98
ink,2.98,43.98
wiki,2.98,43.98
email,4.98,40.98
group,26.98,35.98
agency,4.98,41.98
today,2.98,38.98
cat,26.98,38.98
ws,11.98,38.98
design,12.98,68.98
makeup,1.8,19.98
ltd,4.98,42.98
pics,1.8,40.98
homes,1.8,19.98
rest,1.8,41.98
is,66.98,79.98
solutions,8.98,41.98
media,5.98,58.98
casino,6.98,191.98
name,8.98,9.98
company,21.98,27.98
services,5.48,51.98
tokyo,16.98,24.98
casa,1.98,17.98
im,4.98,12.98
fit,2.98,45.98
surf,1.98,43.98
mom,1.8,45.98
news,8.98,41.48
network,6.48,46.98
cam,2.98,22.98
beauty,1.8,19.98
bio,5.98,84.98
global,34.98,127.98
games,11.98,42.98
to,39.98,39.98
li,14.98,19.98
team,2.98,46.48
academy,8.48,59.98
fyi,6.98,9.68
love,4.98,38.98
gg,68.98,82.98
health,12.98,107.98
forum,1.8,49.98
nyc,6.98,43.98
best,2.28,29.98
africa,10.98,15.88
cv,14.98,14.98
hair,1.8,19.98
llc,11.98,54.98
guru,2.98,54.98
chat,5.98,58.98
onl,3.48,28.98
quest,1.8,19.98
