tld,registration,renewal
com,17.29,17.29
de,5.99,5.99
net,15.95,15.95
org,14.99,14.99
uk,6.49,6.49
xyz,2.79,15.79
top,1.88,4.88
nl,6.98,7.99
info,5.25,29.49
shop,2.99,38.99
eu,5.49,9.99
ca,9.99,9.99
in,7.95,7.95
online,2.99,38.5
co,3.99,38.99
cc,4.19,9.99
store,5.19,58.99
vip,4.99,19.49
site,2.99,38.5
us,5.49,7.99
app,10.99,16.99
at,11.99,11.99
ai,99.99,99.99
io,33.99,69.99
id,14.19,20.75
biz,2.29,23.49
mx,39.99,43.99
bond,2.59,19.49
pro,3.58,29.49
me,9.99,19.99
sbs,1.88,19.49
lol,1.99,32.49
click,2.19,12.99
dev,10.99,14.99
my,3.49,29.99
asia,2.79,13.49
live,3.49,32.99
icu,3.19,19.49
space,3.99,34.99
tech,8.99,68.99
cfd,1.88,19.49
club,4.99,19.49
cloud,5.29,25.99
cyou,1.99,19.49
digital,3.49,41.49
life,3.49,35.99
world,5.49,41.49
tv,26.99,26.99
fun,2.99,41.99
blog,4.29,22.99
work,2.99,12.99
art,3.19,23.99
link,8.59,8.59
one,7.99,24.75
mobi,7.25,55.99
buzz,2.19,27.99
website,2.99,22.99
autos,1.99,15.75
garden,2.19,32.49
studio,29.99,40.99
help,2.19,32.49
lat,1.99,32.49
beer,2.19,32.49
ph,46.49,46.49
skin,1.99,15.75
win,5.25,6.25
pw,3.99,24.49
run,10.09,26.99
ink,2.99,32.49
wiki,2.99,32.49
email,14.14,30.99
group,25.99,25.99
agency,15.49,30.99
today,5.99,28.49
ws,6.49,30.99
design,58.49,58.49
makeup,1.99,15.75
ltd,14.14,30.99
pics,1.99,32.49
homes,1.99,15.75
rest,2.19,28.99
solutions,20.89,30.99
media,22.19,44.99
casino,12.79,159.99
company,20.99,20.99
services,22.19,38.99
casa,2.19,12.99
fit,2.99,32.49
surf,2.19,32.49
mom,1.99,27.99
news,24.99,32.49
network,15.49,34.99
cam,8.99,17.49
beauty,1.99,15.75
bio,14.14,69.99
global,84.99,95.99
games,33.99,33.99
to,64.99,64.99
qpon,2.19,11.49
team,11.49,36.49
academy,34.39,46.99
fyi,17.99,17.99
love,9.99,28.99
health,77.99,77.99
forum,2.19,34.99
nyc,31.99,31.99
best,2.35,22.99
cv,4.99,9.99
hair,1.99,15.75
llc,27.59,42.99
guru,8.75,42.99
chat,20.89,44.99
onl,5.49,23.49
quest,1.99,15.75
rocks,22.19,21.99
bid,5.25,6.25
center,11.49,32.49
la,27.99,27.99
social,19.49,41.49
baby,17.99,54.99
care,40.99,44.49
yachts,1.99,15.75
sh,39.99,47.99
systems,36.99,34.99
bar,3.49,54.99
wtf,14.14,36.49
earth,18.99,18.99
monster,1.99,15.75
consulting,40.99,54.99
zone,20.89,38.99
support,16.75,26.99
page,12.79,12.99
works,15.49,38.99
business,19.49,19.49
plus,29.99,53.99
capital,20.89,71.99
family,39.99,39.99
tel,10.79,10.79
london,31.99,31.99
events,29.99,45.99
church,27.59,58.99
finance,40.99,64.99
technology,24.99,28.49
photography,27.59,36.49
gmbh,45.99,45.99
city,14.14,28.49
yoga,32.49,32.49
foundation,14.99,23.99
boats,1.99,15.75
uno,3.99,27.99
tools,36.99,36.49
education,34.99,34.99
energy,29.99,114.99
marketing,16.75,41.99
travel,54.49,149.99
now,38.99,38.99
bayern,34.99,34.99
coffee,32.99,42.99
farm,29.99,38.99
expert,20.89,62.49
coach,27.59,77.99
software,34.39,41.99
loan,5.25,6.25
international,22.19,31.49
house,38.49,44.49
community,45.99,45.99
cafe,14.14,51.99
video,27.59,36.49
living,5.49,39.99
trade,5.25,6.25
school,36.49,36.49
ninja,29.99,30.99
ag,89.99,79.99
law,95.99,95.99
ventures,27.59,59.99
fm,88.99,88.99
courses,2.19,38.99
host,4.99,109.99
food,5.49,39.99
bot,64.99,64.99
legal,71.99,71.99
wine,19.49,59.99
fund,27.59,71.99
training,29.99,41.99
cool,18.19,44.99
immo,34.99,34.99
money,32.99,35.99
institute,19.49,27.49
land,29.99,41.99
party,5.25,6.25
pet,27.59,27.59
band,40.99,31.49
guide,41.49,41.49
codes,16.75,71.99
cash,24.99,38.99
cx,18.99,18.99
photos,29.99,29.99
market,44.49,44.49
clinic,27.59,64.99
show,36.99,44.49
tips,29.99,30.99
gay,38.99,38.99
golf,14.14,64.99
press,4.99,86.99
boutique,11.49,32.99
red,22.19,23.49
exchange,24.99,38.99
dog,14.14,64.99
ac,34.99,47.99
gallery,28.99,28.99
pub,39.99,39.99
tax,27.59,67.49
partners,40.99,71.99
moe,13.99,13.99
photo,29.99,29.99
bike,24.99,38.99
study,2.19,38.99
stream,5.25,6.25
gold,18.19,99.99
directory,11.49,26.99
blue,34.39,24.99
feedback,9.99,329.99
sale,14.14,38.99
cards,38.99,38.99
delivery,12.79,61.99
christmas,34.99,34.99
ooo,24.99,24.99
watch,7.39,44.49
fitness,14.14,41.99
properties,36.99,39.99
tours,14.14,61.99
vin,16.75,59.99
rentals,20.89,44.49
fashion,32.49,32.49
direct,34.39,41.99
srl,31.99,31.99
management,25.99,25.99
wedding,32.49,32.49
miami,23.49,23.49
luxe,19.49,19.49
science,11.99,11.99
vet,41.99,41.99
report,20.89,24.99
contact,14.99,14.99
style,32.99,38.99
jetzt,23.99,23.99
vegas,12.99,43.99
vision,45.99,45.99
estate,29.99,38.99
engineering,32.99,64.99
reviews,62.99,62.99
rip,23.49,23.49
men,5.25,6.25
productions,20.89,40.49
motorcycles,1.99,15.75
place,22.49,22.49
rent,17.99,59.99
pizza,27.59,64.99
enterprises,22.19,35.99
date,5.25,6.25
lifestyle,5.49,39.99
construction,38.99,38.99
solar,64.99,64.99
careers,67.99,71.99
clothing,32.99,32.99
computer,40.99,38.99
healthcare,88.99,88.99
holdings,64.99,64.99
fans,9.88,9.88
you,22.99,22.99
deals,39.99,39.99
ceo,10.19,109.99
dental,78.99,78.99
dance,32.99,27.49
haus,27.59,33.99
express,23.59,39.99
repair,20.89,36.99
sucks,218.99,218.99
doctor,20.89,116.99
restaurant,40.99,64.99
green,27.59,79.99
pictures,15.49,15.49
lawyer,62.99,62.99
camp,62.99,62.99
university,62.99,62.99
game,309.99,329.99
kim,20.89,23.49
download,5.25,6.25
financial,40.99,58.99
supply,25.99,25.99
ist,15,15
town,16.75,36.49
diy,5.49,39.99
engineer,38.99,38.99
tattoo,34.99,34.99
kitchen,20.89,64.99
shopping,26.99,26.99
villas,59.99,59.99
immobilien,37.99,37.99
review,11.99,11.99
domains,42.99,42.99
parts,24.99,41.99
inc,279,2099
investments,20.89,129.99
industries,45.99,45.99
film,65.99,65.99
locker,6.88,37.99
taxi,20.89,62.99
pink,20.89,25.99
limited,36.99,36.99
lc,22.99,22.99
promo,27.59,24.99
coupons,5.99,54.99
college,17.99,59.99
ski,54.49,64.99
football,25.99,25.99
insure,72.99,72.99
vote,67.99,90.99
army,35.75,39.99
builders,35.99,35.99
black,40.99,64.99
fish,44.49,44.49
sydney,58,58
gifts,36.99,36.99
credit,22.19,104.99
auction,36.99,36.99
audio,104.99,114.99
menu,27.99,27.99
poker,20.89,67.99
lighting,23.99,23.99
toys,34.39,64.99
graphics,23.99,23.99
property,59.99,114.99
loans,40.99,116.99
faith,11.99,11.99
gift,14.99,14.99
mba,27.59,39.99
melbourne,58,58
horse,32.49,32.49
charity,14.99,23.99
istanbul,17.5,17.5
vacations,38.99,38.99
attorney,62.99,62.99
schule,28.99,28.99
kaufen,5.99,26.99
racing,11.99,11.99
movie,94.99,349.99
boston,23.49,23.49
dating,40.99,64.99
fail,38.99,38.99
equipment,28.99,28.99
irish,14.14,22.49
salon,57.99,57.99
reisen,3.99,20.99
apartments,57.99,57.99
recipes,16.75,77.99
forsale,32.99,36.99
claims,34.39,64.99
archi,34.39,103.99
holiday,64.99,64.99
cab,32.99,32.99
shoes,64.99,64.99
associates,35.75,38.99
soccer,25.99,25.99
jewelry,64.99,64.99
voyage,58.99,58.99
mortgage,62.99,62.99
glass,72.99,72.99
tube,23.99,23.99
contractors,35.49,35.49
lgbt,27.59,79.99
cheap,16.75,36.49
gives,14.99,23.99
bingo,53.99,53.99
discount,30.99,30.99
actor,32.99,44.49
camera,58.99,58.99
gratis,23.99,23.99
catering,38.99,38.99
rodeo,12.99,12.99
exposed,22.49,22.49
singles,18.19,33.99
sexy,2749.99,2749.99
observer,10.99,10.99
free,38.99,38.99
supplies,24.99,24.99
dentist,65.99,65.99
fast,29.49,29.49
plumbing,72.99,72.99
cleaning,75.49,75.49
furniture,54.49,94.99
hosting,309.99,329.99
flights,58.99,58.99
cruises,56.99,56.99
cooking,32.49,32.49
moda,41.99,41.99
futbol,17.99,17.99
limo,54.99,54.99
rehab,36.99,36.99
webcam,11.99,11.99
hospital,57.99,57.99
tienda,59.99,59.99
diamonds,54.99,54.99
tennis,65.99,65.99
spa,24.99,24.99
hockey,59.99,59.99
lease,56.99,56.99
fishing,32.49,32.49
sarl,6.99,6.99
vodka,32.49,32.49
florist,32.99,32.99
surgery,54.99,54.99
accountants,117.99,117.99
bargains,34.39,26.49
organic,34.39,85.99
maison,57.99,57.99
talk,38.99,38.99
spot,25.99,25.99
gripe,6.99,6.99
creditcard,144.99,144.99
bible,44.99,44.99
accountant,23.59,23.59
theater,65.99,65.99
condos,58.99,58.99
deal,38.99,38.99
realty,109.99,299
hiphop,23.99,23.99
navy,41.99,41.99
republican,5.99,28.99
tires,5.99,78.99
hot,51.99,51.99
tickets,359.99,389.99
flowers,64.99,114.99
cricket,23.59,23.59
degree,52.99,52.99
diet,104.99,114.99
democrat,32.99,32.99
security,1999.99,2049.99
whoswho,5499,5499
moi,25.99,25.99
blackfriday,114.99,114.99
reise,27.89,97.99
memorial,52.99,52.99
airforce,103.99,103.99
viajes,37.99,37.99
storage,509.99,529.99
shiksha,27.59,51.99
guitars,104.99,114.99
ltda,34.99,34.99
auto,1999.99,2199
rich,94.99,1999
juegos,329.99,329.99
car,1999.99,2199
cars,1999.99,2199
hiv,195.99,195.99
dealer,2099,2099
theatre,509.99,529.99
protection,1999.99,2049.99
kids,6.79,19.99
