tld,registration,renewal
com,11.08,11.08
de,2.9,4.07
net,12.52,12.52
org,7.98,11.84
uk,5.664,5.66
xyz,2.04,12.98
top,1.63,4.63
nl,7.88,7.88
info,3.6,22.14
shop,2.06,31.41
au,7.78,7.78
eu,5.88,5.88
ca,8.88,9.18
in,7.83,7.83
online,1.96,28.84
co,15.76,31.2
cc,3.4,8.55
store,2.57,43.77
vip,4.12,5.15
site,1.96,28.84
us,4.43,7
app,8.75,14.93
ai,82.7,82.7
io,28.12,51.8
id,18.33,18.33
biz,6.69,19.05
mx,35.57,41.23
bond,1.34,15.96
pro,3.09,22.14
me,17.27,17.27
sbs,1.54,15.96
lol,1.54,26.26
click,1.54,10.81
nz,14.98,14.99
dev,8.75,12.87
my,2.37,26.06
asia,11.84,11.84
live,2.57,26.26
icu,2.56,15.96
space,1.96,26.26
tech,6.99,50.98
cfd,1.54,15.96
club,4.12,15.96
cloud,3.88,21.11
cyou,1.54,15.96
digital,2.57,33.47
life,2.57,29.35
world,2.57,33.47
tv,26.26,26.26
fun,2.57,31.41
tw,17.99,17.99
blog,2.57,21.11
work,2.06,10.81
art,3.6,21.11
link,7.72,7.72
one,6.69,20.08
mobi,4.12,41.71
buzz,2.05,26.26
website,1.96,21.11
autos,1.54,12.98
garden,1.54,26.26
studio,11.84,32.44
help,1.54,26.26
lat,1.54,26.26
beer,1.54,26.26
ph,41.91,44.99
bet,9.58,20.91
skin,1.54,12.98
win,4.61,5.64
pw,4.43,18.33
run,4.12,22.14
ink,2.06,26.26
wiki,2.06,26.26
email,5.66,25.23
group,6.18,21.11
agency,3.6,25.23
today,2.57,23.17
ws,22.97,22.97
design,10.81,46.86
makeup,1.54,12.98
ltd,5.66,25.23
pics,1.54,26.26
homes,1.54,12.98
rest,1.54,26.26
solutions,3.6,25.23
media,4.63,36.56
casino,7.72,129.25
name,7.31,7.31
company,2.57,16.99
services,8.75,31.41
tokyo,13.76,13.76
casa,1.54,10.81
fit,2.06,26.26
surf,1.54,26.26
mom,1.54,26.26
news,9.78,26.26
network,4.63,28.32
cam,7.72,14.93
beauty,1.54,12.98
bio,5.66,58.19
global,31.41,77.75
games,8.24,27.29
to,51.8,51.8
qpon,1.54,9.66
team,4.63,29.35
academy,11.84,37.59
fyi,5.66,5.66
love,8.75,23.17
gg,51.8,51.8
health,10.81,62.31
forum,1.54,31.41
nyc,26.26,26.26
best,1.73,18.69
xin,2.65,13.49
cv,8.03,8.03
hair,1.54,12.98
llc,10.81,34.5
guru,2.57,34.5
chat,5.66,36.56
onl,3.09,10.76
quest,1.54,12.98
rocks,3.6,18.02
bid,4.61,5.64
am,36.35,36.35
center,3.6,26.26
la,27.34,27.94
social,6.69,33.47
baby,1.54,52.01
care,11.84,35.53
yachts,1.54,12.98
sh,31.2,46.65
systems,11.84,28.32
vc,26.06,26.06
bar,2.57,52.01
wang,4.12,6.05
wtf,2.57,29.35
earth,15.96,15.96
monster,1.54,12.98
consulting,21.11,43.77
zone,8.24,31.41
support,6.69,22.14
page,10.81,10.81
works,4.63,31.41
business,2.57,15.96
plus,9.78,43.77
capital,5.66,57.16
family,5.66,31.41
tel,9.78,9.78
london,14.24,27.98
xxx,52.01,98.35
events,9.78,36.56
church,6.69,46.86
bz,16.79,16.79
finance,6.69,52.01
technology,9.78,23.17
photography,5.66,29.35
gmbh,36.56,36.56
city,4.63,23.17
yoga,26.26,26.26
foundation,5.99,22.66
boats,1.54,12.98
uno,4.63,21.11
tools,9.78,29.35
education,21.11,28.32
energy,11.84,93.2
marketing,5.66,33.47
travel,15.96,118.95
now,31.41,31.41
bayern,31.99,30.8
mn,41.5,41.5
coffee,10.81,34.5
farm,7.72,31.41
expert,6.69,49.95
coach,10.81,62.31
software,15.96,33.47
loan,4.61,5.64
international,8.24,25.23
house,14.93,35.53
community,8.24,36.56
cafe,4.63,41.71
video,8.24,29.35
living,4.63,31.41
trade,4.61,5.64
school,5.66,29.35
ninja,5.66,25.23
ag,39.98,77.55
law,82.9,82.9
ventures,5.66,47.89
fm,87.85,87.85
courses,1.54,31.41
host,4.63,81.87
food,4.63,31.41
bot,52.01,52.01
legal,5.66,57.16
wine,5.66,47.89
fund,8.75,57.16
training,11.84,33.47
cool,5.66,36.56
immo,8.24,28.32
money,10.81,28.32
institute,7.72,22.14
ing,10.81,10.81
land,8.75,33.47
party,4.61,5.64
as,51.8,51.8
pet,10.81,21.11
band,15.96,25.23
guide,6.18,33.47
codes,4.63,57.16
cash,9.78,31.41
cx,16.53,16.75
photos,8.24,24.2
market,35.53,35.53
clinic,10.81,52.01
show,8.24,35.53
tips,8.24,25.23
gay,2.06,31.41
golf,4.63,52.01
press,4.63,64.37
boutique,2.57,26.26
red,8.24,19.05
exchange,6.18,31.41
dog,3.6,52.01
nrw,39.29,39.29
ac,26.06,46.65
gallery,23.17,23.17
pub,32.44,32.44
tax,8.24,54.07
partners,7.72,57.16
moe,13.05,13.05
photo,26.26,26.26
bike,8.24,31.41
study,1.54,31.41
stream,4.61,5.64
gold,5.66,82.9
directory,4.63,22.14
blue,12.87,20.08
feedback,9.27,309.47
sale,3.6,31.41
cards,2.57,31.41
mu,51.98,52.98
delivery,5.15,49.95
christmas,31.41,31.41
ooo,21.1,21.1
watch,3.09,35.53
fitness,5.66,33.47
zip,10.81,10.81
day,10.81,10.81
properties,6.18,31.41
tours,5.66,49.95
wales,10.59,10.59
music,38.62,38.62
vin,6.69,47.89
rentals,6.69,35.53
fashion,26.26,26.26
tm,432.85,432.85
direct,10.81,33.47
srl,27.29,28.03
management,8.24,21.11
wedding,26.26,26.26
miami,19.05,19.05
luxe,15.96,15.96
science,10.79,10.79
vet,33.47,33.47
report,6.69,20.08
build,26.26,26.26
contact,11.84,11.84
style,7.21,31.41
jetzt,7.72,19.05
vegas,15.96,43.39
vision,5.66,36.56
estate,8.24,31.41
engineering,6.69,52.01
reviews,4.63,49.95
rip,4.63,19.05
jobs,101.64,101.64
men,4.61,5.64
productions,8.24,32.44
motorcycles,1.54,12.98
place,18.02,18.02
rent,10.3,52.01
pizza,10.81,52.01
enterprises,3.6,28.32
date,4.61,5.64
lifestyle,4.63,31.41
construction,8.75,31.41
solar,5.66,52.01
careers,15.96,57.16
clothing,10.81,26.26
computer,18.02,31.41
bh,39.78,39.78
healthcare,70.55,70.55
holdings,52.01,52.01
fans,3.6,8.75
you,18.54,18.54
deals,3.6,31.41
ceo,9.78,88.05
je,51.8,51.8
dental,62.31,62.31
cymru,10.59,10.59
dance,9.78,22.14
haus,10.81,27.29
express,9.27,31.41
repair,7.72,29.35
sucks,205.46,213.14
fo,51.19,51.19
doctor,8.24,93.2
restaurant,12.87,52.01
fan,6.69,43.77
green,6.69,64.37
pictures,8.24,12.87
lawyer,49.95,49.95
camp,6.69,49.95
university,10.81,49.95
game,309.47,309.47
kim,8.24,19.05
download,4.61,5.64
financial,15.96,46.86
supply,21.11,21.11
porn,52.01,98.35
town,5.66,29.35
diy,4.63,31.41
engineer,9.78,31.41
tattoo,2.06,31.41
kitchen,8.24,52.01
shopping,8.24,24.2
villas,10.81,47.89
immobilien,8.24,30.38
review,10.79,10.79
domains,10.81,34.5
parts,8.75,33.47
inc,257.98,2060.25
investments,8.24,103.5
industries,9.53,36.56
locker,5.66,31.41
eco,59.73,59.73
sex,52.01,98.35
taxi,6.18,49.95
pink,8.24,21.11
limited,8.24,29.35
lc,9.98,18.85
promo,10.81,20.08
coupons,2.57,43.77
college,10.3,52.01
ski,21.11,52.01
markets,5.66,15.96
football,10.81,21.11
insure,5.66,58.19
vote,26.26,72.61
army,10.81,31.41
adult,52.01,98.35
builders,4.63,28.32
black,15.96,52.01
fish,8.24,35.53
sydney,40.12,40.12
meme,10.81,10.81
gifts,8.24,29.35
credit,6.69,82.9
auction,3.09,29.35
audio,103.5,103.5
menu,26.96,26.96
poker,8.24,54.07
pr,1030.18,1030.18
lighting,8.24,19.05
toys,10.81,52.01
graphics,19.05,19.05
property,52.01,103.5
loans,10.81,93.2
mov,10.81,10.81
faith,10.79,10.79
sc,87.85,87.85
mobile,15.96,15.96
trading,16.99,16.99
gift,16.58,16.58
mba,10.81,31.41
melbourne,40.12,40.12
horse,26.26,26.26
charity,5.99,22.66
vacations,5.66,31.41
attorney,49.95,49.95
schule,10.81,23.17
foo,10.81,10.81
kaufen,5.66,24.2
racing,10.79,10.79
ngo,15.96,15.96
movie,36.56,278.58
boston,19.05,19.05
dating,12.87,52.01
fail,8.24,31.41
equipment,10.81,23.17
nexus,10.81,10.81
irish,5.66,18.02
salon,10.81,45.83
reisen,16.99,16.99
luxury,26.26,26.26
taipei,14.98,15.19
apartments,10.81,45.83
recipes,6.69,62.31
forsale,10.81,29.35
claims,10.81,52.01
archi,13.39,82.9
holiday,5.66,52.01
cab,12.87,26.26
shoes,21.11,52.01
saarland,22.33,22.33
associates,11.84,31.41
soccer,10.81,21.11
jewelry,10.81,52.01
dad,10.81,10.81
voyage,5.66,46.86
how,21.11,21.11
mortgage,8.24,49.95
glass,58.19,58.19
boo,10.81,10.81
tube,21.11,21.11
contractors,5.66,28.32
lgbt,10.81,64.37
cheap,5.66,29.35
gives,5.99,22.66
yokohama,13.76,13.76
bingo,8.24,42.74
discount,4.63,24.2
actor,10.81,35.53
nagoya,13.76,13.76
camera,11.84,46.86
broker,8.24,29.35
gratis,19.05,19.05
med,71.96,147.65
catering,31.41,31.41
channel,10.81,10.81
rodeo,10.81,10.81
xn--5tzm5g,11.84,11.84
exposed,18.02,18.02
singles,7.21,27.29
sexy,2575.18,2575.18
observer,9.78,9.78
xn--vhquv,69.52,69.52
rsvp,10.81,10.81
free,31.41,31.41
supplies,20.08,20.08
country,2060.25,2060.25
dentist,52.01,52.01
fast,23.69,23.69
phd,21.11,21.11
