tld,registration,renewal
com,10.87,10.15
de,5.33,3.87
net,12.12,12.12
org,11.64,11.64
uk,5.67,5.67
xyz,1.97,12.78
info,2.99,22.04
shop,2.99,39.99
eu,6.22,5.84
in,9.1,13.01
online,2.28,28.8
co,6.23,31.19
cc,9.34,31.18
store,2.28,43.88
vip,3.84,15.8
site,2.8,28.8
us,4.15,6.75
app,4.99,14.76
io,26.99,51.99
id,18.19,18.19
biz,6.44,18.92
mx,50.93,63.41
bond,99,99
pro,2.49,22.04
me,17.14,17.14
sbs,99,99
lol,1.97,26.2
click,0.99,10.6
dev,4.99,12.68
asia,24.72,24.72
cl,13.72,19.44
live,1.99,26.2
icu,99,99
space,2.28,26.2
tech,8.52,51.16
cfd,99,99
club,1.24,15.8
cloud,20.99,20.99
cyou,99,99
digital,1.99,33.48
life,1.99,29.32
world,1.99,33.48
tv,25.99,25.99
fun,3.32,31.4
blog,7.99,21
work,1.76,10.6
art,2.28,21
mobi,3.49,41.8
buzz,26.2,26.2
website,2.28,21
autos,1.97,12.78
garden,1.24,26.2
studio,10.99,32.44
help,2.99,26.2
lat,1.97,26.2
beer,1.24,26.2
bet,8.99,21
skin,1.97,12.78
win,20.98,20.98
pw,18.4,18.4
run,3.49,22.04
ink,1.76,26.2
wiki,1.76,26.2
email,4.99,25.16
group,5.49,21
agency,2.99,25.16
today,1.99,23.08
design,2.8,47
makeup,1.97,12.78
ltd,4.99,25.16
pics,1.97,26.2
homes,1.97,12.78
rest,1.99,26.2
solutions,2.99,25.16
media,3.99,36.6
casino,6.99,130.2
name,21,21
company,1.99,16.84
services,7.99,31.4
casa,1.24,10.6
fit,1.76,26.2
surf,1.24,26.2
mom,1.97,26.2
news,8.99,26.2
network,3.99,28.28
cam,7.48,14.76
beauty,1.97,12.78
bio,4.99,58.44
global,29.99,78.2
games,7.49,27.24
to,51.99,51.99
qpon,99,99
team,3.99,29.32
academy,10.99,37.64
fyi,5.4,5.4
love,4.99,23.08
gg,51.99,51.99
health,10.6,62.6
forum,4.99,31.4
best,1.99,21.91
hair,1.97,12.78
llc,9.99,34.52
guru,1.99,34.52
chat,4.99,36.6
quest,1.97,12.78
rocks,2.99,17.88
bid,20.98,20.98
center,2.99,26.2
social,5.99,33.48
baby,15.8,52.2
care,10.99,35.56
yachts,1.97,12.78
vu,1.03,57.19
sh,29.99,46.79
systems,10.99,28.28
vc,25.99,25.99
bar,2.99,52.2
berlin,104.33,104.33
wtf,1.99,29.32
earth,15.8,15.8
monster,1.97,12.78
consulting,19.99,43.88
zone,7.49,31.4
support,5.99,22.04
page,10.6,10.6
works,3.99,31.4
business,1.99,15.8
plus,8.99,43.88
capital,4.99,57.4
family,4.99,31.4
tel,28.28,34.52
london,33.66,33.66
xxx,52.2,99
events,8.99,36.6
church,5.99,47
bz,16.63,16.63
finance,5.99,52.2
technology,8.99,23.08
photography,4.99,29.32
gmbh,36.6,36.6
city,3.99,23.08
yoga,26.2,26.2
foundation,11.64,22.56
boats,1.97,12.78
uno,21,21
tools,8.99,29.32
education,19.99,28.28
energy,10.99,93.8
marketing,4.99,33.48
travel,14.99,119.8
mn,41.59,41.59
coffee,9.99,34.52
farm,6.99,31.4
expert,5.99,50.12
coach,9.99,62.6
software,14.99,33.48
loan,20.98,20.98
international,7.49,25.16
house,13.99,35.56
community,7.49,36.6
cafe,3.99,41.8
video,7.49,29.32
trade,20.98,20.98
school,4.99,29.32
ninja,4.99,25.16
ag,77.99,77.99
law,83.4,83.4
ventures,4.99,48.04
fm,88.39,88.39
courses,1.24,31.4
host,4.36,82.36
legal,4.99,57.4
wine,4.99,48.04
fund,7.99,57.4
training,10.99,33.48
cool,4.99,36.6
immo,7.49,28.28
money,9.99,28.28
institute,6.99,22.04
land,7.99,33.48
party,20.98,20.98
pet,9.99,21
band,14.99,25.16
guide,5.49,33.48
codes,3.99,57.4
cash,8.99,31.4
photos,7.49,24.12
market,35.56,35.56
clinic,9.99,52.2
show,7.49,35.56
tips,7.49,25.16
